input_name,species,lat,lon,year,country
Dracaena trifasciata,Dracaena trifasciata,21.510058,-157.851517,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,-33.799053,151.155211,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,-20.502691,-43.859735,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-20.502691,-43.859735,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,7.080889,125.541753,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-6.68576,108.51236,2025.0,Indonesia
Dracaena trifasciata,Dracaena trifasciata,-24.169092,-46.785972,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-24.168761,-46.785412,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-14.177207,-44.532267,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-18.380607,178.102315,2025.0,Fiji
Dracaena trifasciata,Dracaena trifasciata,4.451486,-75.791982,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-24.169145,-46.785991,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,13.127663,-59.599128,2025.0,Barbados
Dracaena trifasciata,Dracaena trifasciata,7.068601,125.611815,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,7.086224,125.542439,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,13.696804,-89.255797,2025.0,El Salvador
Dracaena trifasciata,Dracaena trifasciata,-25.745311,28.199956,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,14.867972,120.811853,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,7.011653,125.489758,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,21.92512,101.255505,2025.0,China
Dracaena trifasciata,Dracaena trifasciata,13.125647,-59.599483,2025.0,Barbados
Dracaena trifasciata,Dracaena trifasciata,-27.534142,153.125107,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,11.995097,79.823371,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-23.135295,-44.151109,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,12.540853,-70.030822,2025.0,Aruba
Dracaena trifasciata,Dracaena trifasciata,18.303221,-78.337937,2025.0,Jamaica
Dracaena trifasciata,Dracaena trifasciata,7.050028,125.560975,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,4.451638,-75.791862,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-8.392942,-74.592545,2025.0,Peru
Dracaena trifasciata,Dracaena trifasciata,18.109192,-76.716455,2025.0,Jamaica
Dracaena trifasciata,Dracaena trifasciata,23.556212,120.926457,2025.0,Chinese Taipei
Dracaena trifasciata,Dracaena trifasciata,-29.631168,30.992538,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-25.756572,28.191382,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-16.910302,145.741238,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,28.917509,-82.367775,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,5.972923,116.574012,2025.0,Malaysia
Dracaena trifasciata,Dracaena trifasciata,-25.683678,27.96482,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-5.076472,-42.79747,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-29.630603,30.983548,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-25.727153,28.208627,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-12.856666,-72.692254,2025.0,Peru
Dracaena trifasciata,Dracaena trifasciata,-30.032465,30.894435,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,6.952811,126.222158,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,4.928591,-52.307462,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,4.928909,-52.30736,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,26.088078,-80.150742,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,6.952545,126.230439,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-29.642205,30.984687,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,6.950263,126.21888,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,6.868056,126.296692,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,4.845055,-52.346531,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,6.336987,126.199898,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,6.923922,126.280067,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,6.887674,126.306922,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-29.859728,30.982136,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,21.280431,-157.691976,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,6.944082,126.228561,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-29.63404,30.947474,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,4.942308,-52.300368,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,-29.844692,31.006828,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,23.480217,-109.715108,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,23.480257,-109.714862,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,-29.772904,30.703435,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-31.084675,30.187611,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,4.943466,-52.304996,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,6.947791,126.226906,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-29.627775,30.987172,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,22.158615,113.258775,2025.0,China
Dracaena trifasciata,Dracaena trifasciata,-19.948435,-40.564721,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,4.8232,-52.361894,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,23.950739,120.939531,2025.0,Chinese Taipei
Dracaena trifasciata,Dracaena trifasciata,4.928631,-52.307769,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,4.857003,-52.323279,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,-29.628071,30.986852,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-29.607528,30.978703,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-29.628071,30.986852,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,4.928631,-52.307769,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,14.820665,-61.113759,2025.0,Martinique
Dracaena trifasciata,Dracaena trifasciata,-19.935225,-40.600344,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.455126,-49.349829,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.454913,-49.350387,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.483449,-49.3357,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.653183,-49.30867,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.427374,-49.254227,2025.0,Brazil
